DATE,TOTALDEMAND,PRICECATEGORY,min_temp,max_temp,rain,evap,sun,dir_max_wind,speed_max_wind,time_max_wind,9am_temp,9am_humid,9am_cloud,9am_wind_dir,9am_wind_speed,9am_press,3pm_temp,3pm_humid,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_press
13/07/2021,7174.57,EXTREME,8.9,14.4,0.4,2.4,2.4,0,37,11:20,10.7,84,7,0,11,1014.2,13.8,69,7,0,19,1011.7
13/08/2021,6300.74,MEDIUM,8.1,17.6,0,1.2,10.1,315,33,13:04,11.8,73,1,0,15,1026.9,17.1,44,3,270,9,1025.1
14/01/2021,5257.95,MEDIUM,15,22.2,0,7,8,270,31,23:23,16.6,77,7,225,7,1013.9,20.6,46,6,202.5,9,1013.1
14/02/2021,4710.32,LOW,12.7,20,0,4,8.1,202.5,35,13:52,17.8,56,7,135,9,1019.5,19.3,58,6,202.5,19,1019.3
14/03/2021,4920.14,LOW,11,17.7,17.2,7.4,10,225,31,2:19,11.9,71,1,270,7,1021.1,17.2,49,5,180,15,1021.8
14/04/2021,5731.88,HIGH,11.5,20.8,0,7.8,6.8,0,43,1:40,18,46,1,315,13,1010.9,20.1,46,7,247.5,11,1011.1
14/05/2021,6493.23,MEDIUM,7.8,15.6,4.2,2.4,4.5,270,35,11:04,11.5,71,3,315,11,1014.5,13.5,67,3,247.5,6,1013.6
14/06/2021,6366.51,HIGH,9.7,16.4,0,1.4,1.6,112.5,15,16:16,11,89,7,22.5,7,1018,15.9,57,6,157.5,6,1015.5
14/07/2021,7175.95,EXTREME,9.8,13.9,2.2,3,0.5,0,44,5:56,10.3,84,7,0,13,1005,13.4,73,7,0,24,1000.8
14/08/2021,6049.06,HIGH,6.9,18.4,0,3.4,7.8,337.5,31,15:01,10.9,78,1,0,11,1028.7,17.3,41,6,292.5,13,1025.1
15/01/2021,4742.85,MEDIUM,13.2,20.6,0,7,7.9,247.5,50,14:49,16.4,53,4,315,9,1009,16.6,46,7,292.5,13,1009
15/02/2021,5719.51,LOW,14.4,24.6,0,5.6,9.2,157.5,22,7:37,17,73,7,157.5,9,1022,23,54,7,202.5,11,1019.6
15/03/2021,5619.41,LOW,8.9,22.2,0,2.4,5.2,180,24,22:26,11.1,74,5,22.5,9,1024.8,20.3,58,7,180,7,1023.3
15/04/2021,5936.95,MEDIUM,14,20.2,0,7.4,5.4,225,39,14:25,15.8,52,3,292.5,11,1016.2,15.7,71,7,292.5,6,1015.3
15/05/2021,6319.27,HIGH,7.3,12.9,7.4,2.4,7.5,202.5,54,4:25,8.6,72,4,270,13,1018.1,11.9,59,6,202.5,11,1020.5
15/06/2021,6927.87,EXTREME,7,15.6,0,0.8,0,0,24,17:27,8.5,89,7,22.5,7,1017.5,15,60,7,22.5,9,1014.5
15/07/2021,6715.55,HIGH,10,17.1,3,1.6,7,0,43,12:40,12.3,84,5,0,17,1000,16.4,67,4,0,22,996.6
15/08/2021,5661.48,MEDIUM,10.1,19,0,3,9.1,337.5,54,13:07,12.1,63,3,0,17,1024.1,18.3,31,2,270,22,1019.2
16/01/2021,4529.66,LOW,11,20.1,2.6,6.8,3.7,270,34,12:43,15.7,66,7,270,13,1013.9,18.1,54,7,270,13,1014.1
16/02/2021,6816.18,MEDIUM,15.9,31.3,0,6.2,8.3,0,33,9:27,20.2,67,7,45,9,1021.6,30.2,32,5,67.5,7,1019.2
16/03/2021,5580.93,MEDIUM,11.1,20.6,0,2.2,8,202.5,26,13:50,16.2,68,7,157.5,9,1026.7,19.6,62,1,202.5,13,1024.7
16/04/2021,6202.21,MEDIUM,11.5,15.1,1,4.2,1.3,202.5,24,10:53,12.3,75,7,22.5,6,1024.2,14.5,56,7,180,7,1023.9
16/05/2021,6066.36,MEDIUM,8.3,15.5,0.2,3,3.2,315,35,14:15,10.3,67,6,0,11,1021.8,14.5,59,7,315,11,1019.1
16/06/2021,7031.11,HIGH,8.3,16,1.8,2.2,2.9,337.5,41,12:56,11.5,88,7,22.5,13,1011.4,15.4,60,7,0,15,1008.1
16/07/2021,6745.77,HIGH,10.9,15.2,0.2,0.8,2.4,337.5,41,12:08,11.1,75,7,0,17,989.7,13.8,60,5,292.5,6,989
16/08/2021,6595.54,MEDIUM,11,14.4,0.2,6.6,2.8,292.5,44,12:45,12.2,70,7,292.5,13,1022.8,14.2,62,7,247.5,17,1022.8
17/01/2021,4473.05,MEDIUM,12.9,20.2,0,5.6,10.7,202.5,30,12:19,15,62,7,247.5,13,1018.9,19.2,49,6,180,13,1018.2
17/02/2021,7230.71,MEDIUM,16.6,28.8,0,7.4,11.9,202.5,26,14:37,20.1,73,4,45,7,1021.7,27.1,52,1,225,7,1020.3
17/03/2021,5765.54,MEDIUM,13.9,26.4,0,2.8,9.9,180,24,13:29,16.2,86,0,45,4,1025.1,25.4,50,2,202.5,9,1022.7
17/04/2021,5450.82,HIGH,12.3,17.7,0,3.2,3.7,157.5,22,14:57,14.2,50,7,270,9,1025.6,16.7,50,7,180,13,1024
17/05/2021,6856.41,EXTREME,10.2,15.4,0.4,0.6,7.1,225,30,1:39,11.8,85,2,247.5,9,1024.7,14.2,53,6,202.5,11,1025.4
17/06/2021,7286.57,EXTREME,7.8,12.9,0.8,1,2.6,0,20,7:03,9.4,83,7,0,9,1010.5,12.4,70,7,0,4,1008.8
17/07/2021,6486.18,MEDIUM,7.6,13.7,0.2,2.8,0.8,337.5,33,7:56,8.7,67,7,0,13,992.8,13.2,66,7,270,11,996.7
17/08/2021,6849.04,EXTREME,9.8,13.9,0.4,2,3.3,202.5,30,11:13,11,87,7,270,9,1025.5,12.7,79,7,180,15,1024.8
18/01/2021,4895.82,LOW,14.1,22.6,0,5.6,9,202.5,39,15:53,15.9,76,7,247.5,9,1018.1,20.6,58,2,180,19,1016.2
18/02/2021,7508.61,MEDIUM,18.1,31.8,0,11.4,12.4,0,46,8:26,22.9,44,0,0,26,1022.6,30,32,1,22.5,9,1019.2
18/03/2021,5691.57,MEDIUM,13.8,24.9,0,5.8,5.1,180,22,16:04,16.8,80,7,45,4,1025.8,24,59,7,202.5,9,1024
18/04/2021,5572.65,EXTREME,13.1,18.8,0,3.2,0.7,337.5,20,11:20,14.9,77,7,315,2,1023.5,17.5,64,7,180,2,1020.3
18/05/2021,6809.87,EXTREME,10,16,0,1.8,0.7,315,20,11:17,11.4,77,7,45,9,1029.1,15.6,57,7,337.5,6,1026.5
18/06/2021,6838.24,HIGH,6.1,13.2,1.6,1.8,0.1,202.5,26,13:15,9.4,100,7,180,2,1012.6,12.5,98,7,202.5,9,1014.4
18/07/2021,6759.22,EXTREME,8.5,14.2,4.2,1,3,292.5,28,1:03,10.4,83,3,315,9,1014.5,13,65,7,225,7,1015.1
18/08/2021,6788.59,EXTREME,7.6,15.5,0.6,1.8,1.8,0,24,14:41,10.4,82,7,315,9,1026,15.1,53,7,0,13,1021.9
19/01/2021,4816.53,LOW,14.2,18.9,0,8,9.9,180,41,13:57,15.8,52,7,157.5,15,1023.5,17.7,50,1,180,19,1023.7
19/02/2021,7804.22,HIGH,18.2,32.6,0,8,12.4,0,43,9:32,24.4,44,1,0,15,1017.3,31.2,33,3,0,22,1013.4
19/03/2021,5467.08,MEDIUM,14.2,26.1,0,5.2,6.1,112.5,31,19:22,16.1,88,7,45,2,1027.2,24.3,63,3,202.5,11,1025.2
19/04/2021,5937.22,HIGH,12,20.6,0,2.8,2.3,315,30,13:27,15.3,64,6,0,9,1018.4,18.9,47,6,337.5,15,1014.1
19/05/2021,6450.43,EXTREME,9.8,18.5,0,3.6,6.7,0,39,14:45,12.5,70,2,0,15,1027.6,17.9,45,7,337.5,13,1024.3
19/06/2021,6263.41,EXTREME,9.1,16.2,2.2,1.6,4,135,28,10:38,11.4,100,7,180,6,1024.5,13.4,86,6,202.5,13,1025.1
19/07/2021,7130.82,EXTREME,9.1,13,0,1.8,2.9,337.5,31,14:00,10.4,72,7,0,13,1016.2,12.2,72,7,0,11,1012.5
19/08/2021,6344.8,HIGH,8.2,17.4,0,2.6,8.3,0,31,15:18,11.6,72,5,0,13,1023.3,16.7,50,2,0,17,1019.3
2/01/2021,4964.35,LOW,18.4,29,0,9.4,1.3,337.5,30,8:22,23.3,52,7,337.5,17,1013.3,28.7,38,7,225,4,1008.5
2/02/2021,5133.34,LOW,14.5,19.3,0,3,3.4,202.5,41,14:52,16.7,56,7,180,15,1016.5,18.2,47,7,202.5,20,1017.3
2/03/2021,5459.22,LOW,13.3,18.1,0,6.2,1.4,202.5,39,13:24,14.7,55,7,180,15,1018.1,17,44,7,202.5,15,1018.6
2/04/2021,5439.82,MEDIUM,13.5,30.6,0,6.6,10.8,0,15,6:00,15.1,75,2,22.5,9,1026.2,29.3,28,0,202.5,9,1023.1
2/05/2021,5289.07,MEDIUM,13.7,26,0,6.4,3.8,0,39,14:18,17.5,59,7,22.5,7,1023.3,25.3,36,2,0,20,1018.9
2/06/2021,6564.7,EXTREME,9.2,19.6,0,3.2,7.7,337.5,33,13:14,12.4,63,1,0,9,1018.8,19,44,5,0,11,1015.2
2/07/2021,6851.32,EXTREME,9.7,14.5,0.2,2.8,1.7,0,43,15:02,12.7,83,6,0,9,1014.6,14.4,72,7,0,22,1010.4
2/08/2021,6914.27,MEDIUM,6.5,15.4,0,2.8,9.1,0,50,13:45,10.2,67,1,22.5,15,1016.2,15.2,43,3,337.5,24,1011.5
20/01/2021,5291.48,MEDIUM,10.3,22.6,0,8,13,202.5,33,15:22,16.4,53,1,135,11,1024.2,20.9,51,0,202.5,15,1020.2
20/02/2021,5984.31,LOW,20.3,23.8,0,13.6,5.9,202.5,33,16:51,22.2,77,7,-1,0,1013.2,22,76,4,202.5,11,1011.4
20/03/2021,4748.83,LOW,14,26,0,5.4,5.3,90,31,13:37,16.7,90,1,-1,0,1027.4,24,49,7,112.5,13,1024.3
20/04/2021,6632.03,HIGH,14,18.7,0,5.6,1.9,202.5,44,19:42,16.3,53,5,0,9,1011,11.4,88,7,270,6,1011
20/05/2021,6763.11,HIGH,12,17,0,4,0.2,0,37,1:01,12.7,62,7,0,17,1025.8,16.7,55,7,225,4,1026.3
20/06/2021,6628.57,EXTREME,5.2,14.5,0,0,6.9,135,20,10:40,9.1,100,1,90,4,1027.8,13.8,69,2,-1,0,1025.4
20/07/2021,7556.79,HIGH,9.9,11.4,0.6,2.2,0.3,225,54,17:18,10.8,80,7,0,13,1005.2,8.6,86,8,202.5,13,1007.4
