max_total_demand,max_price_category,temperature_avg,rainfall,evaporation,sunshine,max_wind_direction,max_wind_speed,max_wind_time,temperature_9am,humidity_9am,cloud_9am,wind_direction_9am,wind_speed_9am,pressure_9am,temperature_3pm,humidity_3pm,cloud_3pm,wind_direction_3pm,wind_speed_3pm,pressure_3pm
7175.95,EXTREME,11.9,2.2,3,0.5,N,44,5:56,10.3,84,7,N,13,1005,13.4,73,7,N,24,1000.8
6715.55,HIGH,13.6,3,1.6,7,N,43,12:40,12.3,84,5,N,17,1000,16.4,67,4,N,22,996.6
6745.77,HIGH,13.1,0.2,0.8,2.4,NNW,41,12:08,11.1,75,7,N,17,989.7,13.8,60,5,WNW,6,989
6486.18,MEDIUM,10.6,0.2,2.8,0.8,NNW,33,7:56,8.7,67,7,N,13,992.8,13.2,66,7,W,11,996.7
6759.22,EXTREME,11.4,4.2,1,3,WNW,28,1:03,10.4,83,3,NW,9,1014.5,13,65,7,SW,7,1015.1
7130.82,EXTREME,11.1,0,1.8,2.9,NNW,31,2:00,10.4,72,7,N,13,1016.2,12.2,72,7,N,11,1012.5
7556.79,HIGH,10.7,0.6,2.2,0.3,SW,54,5:18,10.8,80,7,N,13,1005.2,8.6,86,8,SSW,13,1007.4
7391.37,EXTREME,10.1,10.8,1.6,2.8,WSW,31,12:37,8.9,80,7,W,6,1020.5,12,69,6,WSW,7,1019
7536.62,EXTREME,8.5,0.6,2.6,0.1,NNW,46,2:11,7.8,88,7,N,17,1015.8,10.5,66,7,N,22,1010.7
7329.83,EXTREME,9.6,0,0.6,1.5,N,31,1:36,8.2,80,7,N,7,1006.8,10.9,64,7,N,13,1003.6
6492.94,HIGH,11,0,1.4,3.4,NNW,48,2:46,9.5,78,7,N,19,998.2,13.9,53,5,NNW,19,995.3
6817.65,HIGH,9.4,0.8,3.6,7.2,NNW,48,2:35,8.1,60,1,NW,19,1003.6,12.5,47,7,NW,13,1004.8
6763.92,HIGH,12.3,0,1,2.9,NNW,43,10:41,12.4,75,7,N,13,1010.9,15.8,62,7,NNW,20,1009.7
6646.82,HIGH,13.6,0,3.4,4.3,N,67,9:40,11.1,67,2,N,19,1011.1,16.4,48,7,N,26,1003.7
7125.58,HIGH,14,0,5.4,4.7,NNW,50,5:28,14.3,70,6,N,13,998.2,12,65,7,WNW,11,998.4
6990.16,EXTREME,11.1,0.8,3.4,7.8,NNW,41,2:41,8.7,67,6,NNW,19,1013.5,14.9,52,1,NNW,17,1013.5
6684.48,HIGH,11.5,0,2.6,6.4,N,61,10:32,9.9,59,1,NNE,19,1015.1,13.6,49,7,N,26,1011
6018.75,HIGH,14,0,7,6.3,N,54,1:23,13.1,54,1,N,20,1006.1,17.1,48,6,N,22,1002
6526.06,EXTREME,11.9,18,6.8,9,NNW,30,12:08,11.1,72,1,NW,9,1010.6,14.6,42,3,W,9,1011.5
6914.27,MEDIUM,11,0,2.8,9.1,N,50,1:45,10.2,67,1,NNE,15,1016.2,15.2,43,3,NNW,24,1011.5
7197.61,MEDIUM,11.6,4.8,2.6,4.1,NNW,35,12:23,10.6,77,2,N,9,1008.1,13.3,53,6,WNW,15,1007.7
6831.32,HIGH,11.2,0.6,1.8,3.4,WSW,31,12:09,10.2,78,7,W,11,1016,14.3,67,7,W,9,1015.5
6416.19,MEDIUM,12.8,0.4,1.6,3.9,WNW,31,2:49,11.8,80,7,WNW,11,1021.7,15.2,63,7,W,15,1020.1
6650.37,HIGH,12.5,0.2,2.2,0.6,NNW,28,8:22,12.1,74,7,WNW,9,1024.5,13.9,60,8,NW,13,1023.1
6419.69,EXTREME,13,0,1.6,2.4,NW,30,6:10,11.2,75,7,NW,11,1026.9,13.2,75,7,SSW,11,1026.4
6477.76,EXTREME,11.1,0.6,1.2,5.5,N,17,8:51,7.2,100,1,N,11,1032.6,14.6,58,7,S,6,1029.3
6675.69,HIGH,11.8,0,2.8,2.7,N,30,1:56,9.1,82,7,NNE,9,1028.1,15.1,60,6,NNW,19,1023.3
6234.67,HIGH,13.4,0,2.4,8.1,N,52,11:11,12.4,77,6,N,19,1022.4,17.5,45,6,N,24,1017.9
6687.69,MEDIUM,15.8,0,7,3.6,NNW,54,1:44,14.4,47,5,N,28,1012.2,16.7,44,8,WNW,17,1009.8
6537.7,HIGH,12.4,2.8,4.4,4.7,NNW,31,10:24,10.6,71,7,N,11,1025.2,15.4,50,7,W,13,1024.3
6300.74,MEDIUM,12.9,0,1.2,10.1,NW,33,1:04,11.8,73,1,N,15,1026.9,17.1,44,3,W,9,1025.1
6049.06,HIGH,12.6,0,3.4,7.8,NNW,31,3:01,10.9,78,1,N,11,1028.7,17.3,41,6,WNW,13,1025.1
5661.48,MEDIUM,14.6,0,3,9.1,NNW,54,1:07,12.1,63,3,N,17,1024.1,18.3,31,2,W,22,1019.2
6595.54,MEDIUM,12.7,0.2,6.6,2.8,WNW,44,12:45,12.2,70,7,WNW,13,1022.8,14.2,62,7,WSW,17,1022.8
6849.04,EXTREME,11.9,0.4,2,3.3,SSW,30,11:13,11,87,7,W,9,1025.5,12.7,79,7,S,15,1024.8
6788.59,EXTREME,11.6,0.6,1.8,1.8,N,24,2:41,10.4,82,7,NW,9,1026,15.1,53,7,N,13,1021.9
6344.8,HIGH,12.8,0,2.6,8.3,N,31,3:18,11.6,72,5,N,13,1023.3,16.7,50,2,N,17,1019.3
6331.48,MEDIUM,13,0.8,3.6,3.2,N,50,2:27,11.3,80,6,NNE,11,1016.7,16.7,51,3,N,28,1012.1
5705.47,MEDIUM,15.3,1,3.6,10.2,NW,33,11:24,13.9,64,0,NNW,13,1015.3,18.9,44,4,NW,13,1013.8
5325.33,MEDIUM,16.8,0,4,10.6,N,57,2:54,14.6,62,1,N,20,1014.5,21.6,37,1,NNW,37,1007.8
6708.96,HIGH,12.6,0.8,7,5.4,NW,50,12:12,11.2,67,3,WSW,11,1011.1,11.7,54,5,WSW,9,1012.2
6717.65,HIGH,9.8,10.4,4,6.2,S,39,9:38,10.8,53,7,SSE,17,1021.5,11.7,55,6,S,17,1021.6
6736.8,EXTREME,11.1,2.2,1.2,5.4,S,37,4:26,12.1,73,3,SSE,15,1023.3,13.4,59,6,SSW,17,1021.8
7126.76,EXTREME,9.2,1.2,2.4,1,SE,31,12:54,9.2,82,7,CALM,0,1022.7,12.2,55,7,SSE,13,1020.3
6769.89,EXTREME,9.1,0,1.2,3.8,SSW,15,12:18,7.7,88,7,CALM,0,1020,12.8,65,7,SSE,7,1017.4
5716.32,MEDIUM,11.6,0,1.6,9.6,N,39,1:14,9.1,80,1,N,7,1018.6,17.4,31,3,NNW,24,1013.5
6227.89,EXTREME,12.6,0.6,6.4,4.3,NNE,33,1:50,10.6,79,7,N,13,1011.4,12.8,84,7,S,6,1010.4
6072.91,HIGH,12,4,1.4,7.4,NNW,50,2:04,11.1,70,7,N,15,1016.1,16.8,45,1,NNW,28,1013.2
5779.56,MEDIUM,15.6,0,5.8,3.6,N,61,4:29,13.5,53,7,N,17,1013.8,19.4,43,6,N,30,1012.2
